START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/25/17,,,Rangers at Yankees - Time TBD,Yankee Stadium - Bronx,"",06/25/17,06/25/17,,,FALSE,TRUE,06/25/17,,,FREE,BUSY
06/26/17,,,Yankees at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",06/26/17,06/26/17,,,FALSE,TRUE,06/26/17,,,FREE,BUSY
06/27/17,,,Yankees at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",06/27/17,06/27/17,,,FALSE,TRUE,06/27/17,,,FREE,BUSY
06/28/17,,,Yankees at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",06/28/17,06/28/17,,,FALSE,TRUE,06/28/17,,,FREE,BUSY
06/29/17,,,Yankees at White Sox - Time TBD,Guaranteed Rate Field - Chicago,"",06/29/17,06/29/17,,,FALSE,TRUE,06/29/17,,,FREE,BUSY
06/30/17,,,Yankees at Astros - Time TBD,Minute Maid Park - Houston,"",06/30/17,06/30/17,,,FALSE,TRUE,06/30/17,,,FREE,BUSY
07/01/17,,,Yankees at Astros - Time TBD,Minute Maid Park - Houston,"",07/01/17,07/01/17,,,FALSE,TRUE,07/01/17,,,FREE,BUSY
07/02/17,,,Yankees at Astros - Time TBD,Minute Maid Park - Houston,"",07/02/17,07/02/17,,,FALSE,TRUE,07/02/17,,,FREE,BUSY
07/03/17,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",07/03/17,07/03/17,,,FALSE,TRUE,07/03/17,,,FREE,BUSY
07/04/17,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",07/04/17,07/04/17,,,FALSE,TRUE,07/04/17,,,FREE,BUSY
07/05/17,,,Blue Jays at Yankees - Time TBD,Yankee Stadium - Bronx,"",07/05/17,07/05/17,,,FALSE,TRUE,07/05/17,,,FREE,BUSY
07/07/17,,,Brewers at Yankees - Time TBD,Yankee Stadium - Bronx,"",07/07/17,07/07/17,,,FALSE,TRUE,07/07/17,,,FREE,BUSY
07/08/17,,,Brewers at Yankees - Time TBD,Yankee Stadium - Bronx,"",07/08/17,07/08/17,,,FALSE,TRUE,07/08/17,,,FREE,BUSY
07/09/17,,,Brewers at Yankees - Time TBD,Yankee Stadium - Bronx,"",07/09/17,07/09/17,,,FALSE,TRUE,07/09/17,,,FREE,BUSY
07/11/17,08:00 PM,08:00 PM,AL All-Stars at NL All-Stars,Marlins Park - Miami,"",07/11/17,07/11/17,11:00 PM,11:00 PM,FALSE,TRUE,07/11/17,07:00 PM,07:00 PM,FREE,BUSY
07/14/17,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park - Boston,"",07/14/17,07/14/17,10:10 PM,10:10 PM,FALSE,TRUE,07/14/17,06:10 PM,06:10 PM,FREE,BUSY
07/15/17,04:05 PM,04:05 PM,Yankees at Red Sox,Fenway Park - Boston,"",07/15/17,07/15/17,07:05 PM,07:05 PM,FALSE,TRUE,07/15/17,03:05 PM,03:05 PM,FREE,BUSY
07/16/17,08:05 PM,08:05 PM,Yankees at Red Sox,Fenway Park - Boston,"Local TV: ESPN",07/16/17,07/16/17,11:05 PM,11:05 PM,FALSE,TRUE,07/16/17,07:05 PM,07:05 PM,FREE,BUSY
